0 zero unknown
1 HieroglyphsImplementation.symbolOne
2 HieroglyphsImplementation.symbolOne+HieroglyphsImplementation.symbolOne
3 HieroglyphsImplementation.symbolOne+HieroglyphsImplementation.symbolOne+HieroglyphsImplementation.symbolOne
10 HieroglyphsImplementation.symbolTen
100 HieroglyphsImplementation.symbolHundred
1_000 HieroglyphsImplementation.symbolThousand
4_122 HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolHundred+HieroglyphsImplementation.symbolTen+HieroglyphsImplementation.symbolTen+HieroglyphsImplementation.symbolOne+HieroglyphsImplementation.symbolOne
4_002 HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolThousand+HieroglyphsImplementation.symbolOne+HieroglyphsImplementation.symbolOne
10_000 HieroglyphsImplementation.symbolTenThousand
100_000 HieroglyphsImplementation.symbolHundredThousand
1_000_000 HieroglyphsImplementation.symbolMillion
